(Click me, if I am too big copy and paste me into a spreadsheet or text editor)
		OBJECT NAME	LIGHTMAP INDEX	STATIC	OVERLAPPING SUBMESHES	OUT-OF-BOUNDS UVs	NUM MATS	MATERIAL	WARNINGS
		StreetLight (2) (108 verts)	-1	False	False	False	2	[gray (UnityEngine.Material)] [lamp (UnityEngine.Material)] 	
		StreetLight (5) (108 verts)	-1	False	False	False	2	[gray (UnityEngine.Material)] [lamp (UnityEngine.Material)] 	
		StreetLight (31) (108 verts)	-1	False	False	False	2	[gray (UnityEngine.Material)] [lamp (UnityEngine.Material)] 	
		StreetLight (3) (108 verts)	-1	False	False	False	2	[gray (UnityEngine.Material)] [lamp (UnityEngine.Material)] 	
		StreetLight (32) (108 verts)	-1	False	False	False	2	[gray (UnityEngine.Material)] [lamp (UnityEngine.Material)] 	
		StreetLight (30) (108 verts)	-1	False	False	False	2	[gray (UnityEngine.Material)] [lamp (UnityEngine.Material)] 	
		StreetLight (34) (108 verts)	-1	False	False	False	2	[gray (UnityEngine.Material)] [lamp (UnityEngine.Material)] 	
		StreetLight (13) (108 verts)	-1	False	False	False	2	[gray (UnityEngine.Material)] [lamp (UnityEngine.Material)] 	
		StreetLight (6) (108 verts)	-1	False	False	False	2	[gray (UnityEngine.Material)] [lamp (UnityEngine.Material)] 	
		traffic_light (1) (348 verts)	-1	False	False	False	4	[black (UnityEngine.Material)] [lamp_red (UnityEngine.Material)] [lamp_yellow (UnityEngine.Material)] [lamp_green (UnityEngine.Material)] 	
		StreetLight (108 verts)	-1	False	False	False	2	[gray (UnityEngine.Material)] [lamp (UnityEngine.Material)] 	
		traffic_light (3) (348 verts)	-1	False	False	False	4	[black (UnityEngine.Material)] [lamp_red (UnityEngine.Material)] [lamp_yellow (UnityEngine.Material)] [lamp_green (UnityEngine.Material)] 	
		StreetLight (18) (108 verts)	-1	False	False	False	2	[gray (UnityEngine.Material)] [lamp (UnityEngine.Material)] 	
		traffic_light (348 verts)	-1	False	False	False	4	[black (UnityEngine.Material)] [lamp_red (UnityEngine.Material)] [lamp_yellow (UnityEngine.Material)] [lamp_green (UnityEngine.Material)] 	
		StreetLight (9) (108 verts)	-1	False	False	False	2	[gray (UnityEngine.Material)] [lamp (UnityEngine.Material)] 	
		traffic_light (2) (348 verts)	-1	False	False	False	4	[black (UnityEngine.Material)] [lamp_red (UnityEngine.Material)] [lamp_yellow (UnityEngine.Material)] [lamp_green (UnityEngine.Material)] 	
		StreetLight (8) (108 verts)	-1	False	False	False	2	[gray (UnityEngine.Material)] [lamp (UnityEngine.Material)] 	
		StreetLight (24) (108 verts)	-1	False	False	False	2	[gray (UnityEngine.Material)] [lamp (UnityEngine.Material)] 	
		StreetLight (14) (108 verts)	-1	False	False	False	2	[gray (UnityEngine.Material)] [lamp (UnityEngine.Material)] 	
		StreetLight (35) (108 verts)	-1	False	False	False	2	[gray (UnityEngine.Material)] [lamp (UnityEngine.Material)] 	
		StreetLight (25) (108 verts)	-1	False	False	False	2	[gray (UnityEngine.Material)] [lamp (UnityEngine.Material)] 	
		StreetLight (22) (108 verts)	-1	False	False	False	2	[gray (UnityEngine.Material)] [lamp (UnityEngine.Material)] 	
		StreetLight (1) (108 verts)	-1	False	False	False	2	[gray (UnityEngine.Material)] [lamp (UnityEngine.Material)] 	
		StreetLight (20) (108 verts)	-1	False	False	False	2	[gray (UnityEngine.Material)] [lamp (UnityEngine.Material)] 	
		StreetLight (21) (108 verts)	-1	False	False	False	2	[gray (UnityEngine.Material)] [lamp (UnityEngine.Material)] 	
		StreetLight (19) (108 verts)	-1	False	False	False	2	[gray (UnityEngine.Material)] [lamp (UnityEngine.Material)] 	
	Standard (10243 verts): 
		Mesh1_Group1_Model (1) (61 verts)	-1	False	True	True	3	[Asphalt (UnityEngine.Material)] [Stone (UnityEngine.Material)] [Grass (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 6x3 times] [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.]
		Mesh1_Group1_Model (1) (61 verts)	-1	False	True	True	3	[Asphalt (UnityEngine.Material)] [Stone (UnityEngine.Material)] [Grass (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 6x3 times] [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.]
		Tree1 (34) (131 verts)	-1	False	False	True	2	[Grass (UnityEngine.Material)] [Alternate_Dirt (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x2 times]
		Mesh1_Group1_Model (1) (61 verts)	-1	False	True	True	3	[Asphalt (UnityEngine.Material)] [Stone (UnityEngine.Material)] [Grass (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 6x3 times] [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.]
		Tree1 (3) (131 verts)	-1	False	False	True	2	[Grass (UnityEngine.Material)] [Alternate_Dirt (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x2 times]
		Tree1 (131 verts)	-1	False	False	True	2	[Grass (UnityEngine.Material)] [Alternate_Dirt (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x2 times]
		Tree1 (21) (131 verts)	-1	False	False	True	2	[Grass (UnityEngine.Material)] [Alternate_Dirt (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x2 times]
		Tree1 (28) (131 verts)	-1	False	False	True	2	[Grass (UnityEngine.Material)] [Alternate_Dirt (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x2 times]
		Tree2 (9) (111 verts)	-1	False	False	True	2	[Alternate_Dirt (UnityEngine.Material)] [Grass (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 3x2 times]
		Mesh1_Group1_Model (61 verts)	-1	False	True	True	3	[Asphalt (UnityEngine.Material)] [Stone (UnityEngine.Material)] [Grass (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 6x3 times] [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.]
		Tree1 (32) (131 verts)	-1	False	False	True	2	[Grass (UnityEngine.Material)] [Alternate_Dirt (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x2 times]
		Tree1 (17) (131 verts)	-1	False	False	True	2	[Grass (UnityEngine.Material)] [Alternate_Dirt (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x2 times]
		Mesh1_Group1_Model (61 verts)	-1	False	True	True	3	[Asphalt (UnityEngine.Material)] [Stone (UnityEngine.Material)] [Grass (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 6x3 times] [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.]
		Tree2 (2) (111 verts)	-1	False	False	True	2	[Alternate_Dirt (UnityEngine.Material)] [Grass (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 3x2 times]
		Tree1 (22) (131 verts)	-1	False	False	True	2	[Grass (UnityEngine.Material)] [Alternate_Dirt (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x2 times]
		Tree2 (6) (111 verts)	-1	False	False	True	2	[Alternate_Dirt (UnityEngine.Material)] [Grass (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 3x2 times]
		Mesh1_Group1_Model (1) (61 verts)	-1	False	True	True	3	[Asphalt (UnityEngine.Material)] [Stone (UnityEngine.Material)] [Grass (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 6x3 times] [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.]
		Tree1 (12) (131 verts)	-1	False	False	True	2	[Grass (UnityEngine.Material)] [Alternate_Dirt (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x2 times]
		Tree2 (11) (111 verts)	-1	False	False	True	2	[Alternate_Dirt (UnityEngine.Material)] [Grass (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 3x2 times]
		Tree1 (13) (131 verts)	-1	False	False	True	2	[Grass (UnityEngine.Material)] [Alternate_Dirt (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x2 times]
		Mesh1_Group1_Model (24 verts)	-1	False	False	True	1	[Asphalt (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 6x3 times]
		Mesh1_Group1_Model (24 verts)	-1	False	False	True	1	[Asphalt (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 6x3 times]
		Tree1 (20) (131 verts)	-1	False	False	True	2	[Grass (UnityEngine.Material)] [Alternate_Dirt (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x2 times]
		Tree2 (10) (111 verts)	-1	False	False	True	2	[Alternate_Dirt (UnityEngine.Material)] [Grass (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 3x2 times]
		Tree1 (26) (131 verts)	-1	False	False	True	2	[Grass (UnityEngine.Material)] [Alternate_Dirt (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x2 times]
		Tree1 (9) (131 verts)	-1	False	False	True	2	[Grass (UnityEngine.Material)] [Alternate_Dirt (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x2 times]
		Tree2 (4) (111 verts)	-1	False	False	True	2	[Alternate_Dirt (UnityEngine.Material)] [Grass (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 3x2 times]
		Mesh1_Group1_Model (1) (61 verts)	-1	False	True	True	3	[Asphalt (UnityEngine.Material)] [Stone (UnityEngine.Material)] [Grass (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 6x3 times] [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.]
		Tree1 (6) (131 verts)	-1	False	False	True	2	[Grass (UnityEngine.Material)] [Alternate_Dirt (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x2 times]
		Mesh1_Group1_Model (1) (61 verts)	-1	False	True	True	3	[Asphalt (UnityEngine.Material)] [Stone (UnityEngine.Material)] [Grass (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 6x3 times] [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.]
		Mesh1_Group1_Model (24 verts)	-1	False	False	True	1	[Asphalt (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 6x3 times]
		Mesh1_Group1_Model (1) (61 verts)	-1	False	True	True	3	[Asphalt (UnityEngine.Material)] [Stone (UnityEngine.Material)] [Grass (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 6x3 times] [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.]
		Mesh1_Group1_Model (61 verts)	-1	False	True	True	3	[Asphalt (UnityEngine.Material)] [Stone (UnityEngine.Material)] [Grass (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 6x3 times] [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.]
		Mesh1_Group1_Model (24 verts)	-1	False	False	True	1	[Grass (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 6x3 times]
		Tree1 (1) (131 verts)	-1	False	False	True	2	[Grass (UnityEngine.Material)] [Alternate_Dirt (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x2 times]
		Mesh1_Group1_Model (24 verts)	-1	False	False	True	1	[Asphalt (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 6x3 times]
		Mesh1_Group1_Model (24 verts)	-1	False	False	True	1	[Grass (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 6x3 times]
		Tree2 (8) (111 verts)	-1	False	False	True	2	[Alternate_Dirt (UnityEngine.Material)] [Grass (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 3x2 times]
		Tree2 (3) (111 verts)	-1	False	False	True	2	[Alternate_Dirt (UnityEngine.Material)] [Grass (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 3x2 times]
		Tree1 (18) (131 verts)	-1	False	False	True	2	[Grass (UnityEngine.Material)] [Alternate_Dirt (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x2 times]
		Mesh1_Group1_Model (1) (61 verts)	-1	False	True	True	3	[Asphalt (UnityEngine.Material)] [Stone (UnityEngine.Material)] [Grass (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 6x3 times] [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.]
		Mesh1_Group1_Model (24 verts)	-1	False	False	True	1	[Asphalt (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 6x3 times]
		Mesh1_Group1_Model (24 verts)	-1	False	False	True	1	[Asphalt (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 6x3 times]
		Tree1 (11) (131 verts)	-1	False	False	True	2	[Grass (UnityEngine.Material)] [Alternate_Dirt (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x2 times]
		Mesh1_Group1_Model (61 verts)	-1	False	True	True	3	[Asphalt (UnityEngine.Material)] [Stone (UnityEngine.Material)] [Grass (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 6x3 times] [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.]
		Mesh1_Group1_Model (1) (61 verts)	-1	False	True	True	3	[Asphalt (UnityEngine.Material)] [Stone (UnityEngine.Material)] [Grass (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 6x3 times] [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.]
		Mesh1_Group1_Model (61 verts)	-1	False	True	True	3	[Asphalt (UnityEngine.Material)] [Stone (UnityEngine.Material)] [Grass (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 6x3 times] [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.]
		Mesh1_Group1_Model (24 verts)	-1	False	False	True	1	[Asphalt (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 6x3 times]
		Mesh1_Group1_Model (1) (61 verts)	-1	False	True	True	3	[Asphalt (UnityEngine.Material)] [Stone (UnityEngine.Material)] [Grass (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 6x3 times] [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.]
		Mesh1_Group1_Model (24 verts)	-1	False	False	True	1	[Grass (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 6x3 times]
		Tree2 (7) (111 verts)	-1	False	False	True	2	[Alternate_Dirt (UnityEngine.Material)] [Grass (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 3x2 times]
		Tree1 (15) (131 verts)	-1	False	False	True	2	[Grass (UnityEngine.Material)] [Alternate_Dirt (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x2 times]
		Mesh1_Group1_Model (24 verts)	-1	False	False	True	1	[Grass (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 6x3 times]
		Mesh1_Group1_Model (24 verts)	-1	False	False	True	1	[Grass (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 6x3 times]
		Mesh1_Group1_Model (24 verts)	-1	False	False	True	1	[Asphalt (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 6x3 times]
		Mesh1_Group1_Model (1) (61 verts)	-1	False	True	True	3	[Asphalt (UnityEngine.Material)] [Stone (UnityEngine.Material)] [Grass (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 6x3 times] [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.]
		Mesh1_Group1_Model (61 verts)	-1	False	True	True	3	[Asphalt (UnityEngine.Material)] [Stone (UnityEngine.Material)] [Grass (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 6x3 times] [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.]
		Mesh1_Group1_Model (61 verts)	-1	False	True	True	3	[Asphalt (UnityEngine.Material)] [Stone (UnityEngine.Material)] [Grass (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 6x3 times] [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.]
		Mesh1_Group1_Model (24 verts)	-1	False	False	True	1	[Grass (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 6x3 times]
		Mesh1_Group1_Model (24 verts)	-1	False	False	True	1	[Grass (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 6x3 times]
		Mesh1_Group1_Model (2) (24 verts)	-1	False	False	True	1	[Grass (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 6x3 times]
		Mesh1_Group1_Model (1) (61 verts)	-1	False	True	True	3	[Asphalt (UnityEngine.Material)] [Stone (UnityEngine.Material)] [Grass (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 6x3 times] [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.]
		Mesh1_Group1_Model (61 verts)	-1	False	True	True	3	[Asphalt (UnityEngine.Material)] [Stone (UnityEngine.Material)] [Grass (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 6x3 times] [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.]
		Tree2 (111 verts)	-1	False	False	True	2	[Alternate_Dirt (UnityEngine.Material)] [Grass (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 3x2 times]
		Mesh1_Group1_Model (24 verts)	-1	False	False	True	1	[Asphalt (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 6x3 times]
		Mesh1_Group1_Model (1) (61 verts)	-1	False	True	True	3	[Asphalt (UnityEngine.Material)] [Stone (UnityEngine.Material)] [Grass (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 6x3 times] [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.]
		Mesh1_Group1_Model (24 verts)	-1	False	False	True	1	[Asphalt (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 6x3 times]
		Mesh1_Group1_Model (61 verts)	-1	False	True	True	3	[Asphalt (UnityEngine.Material)] [Stone (UnityEngine.Material)] [Grass (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 6x3 times] [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.]
		Mesh1_Group1_Model (61 verts)	-1	False	True	True	3	[Asphalt (UnityEngine.Material)] [Stone (UnityEngine.Material)] [Grass (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 6x3 times] [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.]
		Mesh1_Group1_Model (1) (61 verts)	-1	False	True	True	3	[Asphalt (UnityEngine.Material)] [Stone (UnityEngine.Material)] [Grass (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 6x3 times] [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.]
		Mesh1_Group1_Model (1) (61 verts)	-1	False	True	True	3	[Asphalt (UnityEngine.Material)] [Stone (UnityEngine.Material)] [Grass (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 6x3 times] [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.]
		Tree1 (23) (131 verts)	-1	False	False	True	2	[Grass (UnityEngine.Material)] [Alternate_Dirt (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x2 times]
		Mesh1_Group1_Model (3) (24 verts)	-1	False	False	True	1	[Grass (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 6x3 times]
		Mesh1_Group1_Model (24 verts)	-1	False	False	True	1	[Grass (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 6x3 times]
		Mesh1_Group1_Model (1) (61 verts)	-1	False	True	True	3	[Asphalt (UnityEngine.Material)] [Stone (UnityEngine.Material)] [Grass (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 6x3 times] [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.]
		Tree1 (31) (131 verts)	-1	False	False	True	2	[Grass (UnityEngine.Material)] [Alternate_Dirt (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x2 times]
		Mesh1_Group1_Model (1) (61 verts)	-1	False	True	True	3	[Asphalt (UnityEngine.Material)] [Stone (UnityEngine.Material)] [Grass (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 6x3 times] [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.]
		Tree1 (10) (131 verts)	-1	False	False	True	2	[Grass (UnityEngine.Material)] [Alternate_Dirt (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x2 times]
		Mesh1_Group1_Model (1) (61 verts)	-1	False	True	True	3	[Asphalt (UnityEngine.Material)] [Stone (UnityEngine.Material)] [Grass (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 6x3 times] [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.]
		Tree1 (25) (131 verts)	-1	False	False	True	2	[Grass (UnityEngine.Material)] [Alternate_Dirt (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x2 times]
		Tree1 (7) (131 verts)	-1	False	False	True	2	[Grass (UnityEngine.Material)] [Alternate_Dirt (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x2 times]
		Mesh1_Group1_Model (24 verts)	-1	False	False	True	1	[Grass (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 6x3 times]
